Latency, Colour
0.019442319869995117,Black
0.011964082717895508,Black
0.012970924377441406,Black
0.012034893035888672,Black
0.022045612335205078,Black
0.015377283096313477,Black
0.016965866088867188,Black
0.023999452590942383,Black
0.01499485969543457,Black
0.01260232925415039,Black
0.018002986907958984,Black
0.024045944213867188,Black
0.016962051391601562,Black
0.02199268341064453,Black
0.019949913024902344,Black
0.011999130249023438,Black
0.020011425018310547,Black
0.02093958854675293,Black
0.01396489143371582,Black
0.020002365112304688,Black
0.024012088775634766,Black
0.009971141815185547,Black
0.016965150833129883,Black
0.02594923973083496,Red
0.014955520629882812,Black
0.016969919204711914,Black
0.021981239318847656,Black
0.012983322143554688,Black
0.01596546173095703,Black
0.019989967346191406,Black
0.01502847671508789,Black
0.012150764465332031,Black
0.022017955780029297,Black
0.01698923110961914,Black
0.012968778610229492,Black
0.021257638931274414,Black
0.020990371704101562,Black
0.012959957122802734,Black
0.020000219345092773,Black
0.01903057098388672,Black
0.02100682258605957,Black
0.018996000289916992,Black
0.024942636489868164,Black
0.013026714324951172,Black
0.028972625732421875,Red
0.018961429595947266,Black
0.012033224105834961,Black
0.017000198364257812,Black
0.026988744735717773,Red
0.014026641845703125,Black
0.011970043182373047,Black
0.02198028564453125,Black
0.01999211311340332,Black
0.012996912002563477,Black
0.022958755493164062,Black
0.02204418182373047,Black
0.011991739273071289,Black
0.020009517669677734,Black
0.02199721336364746,Black
0.010999441146850586,Black
0.012000560760498047,Black
0.010666370391845703,Black
0.014985084533691406,Black
0.012041807174682617,Black
0.012078523635864258,Black
0.010954856872558594,Black
0.010001897811889648,Black
0.01199197769165039,Black
0.0099639892578125,Black
0.01200413703918457,Black
0.02199101448059082,Black
0.014624834060668945,Black
0.011967897415161133,Black
0.018002033233642578,Black
0.018993854522705078,Black
0.011968851089477539,Black
0.019500255584716797,Black
0.022992849349975586,Black
0.011968374252319336,Black
0.020000219345092773,Black
0.022026777267456055,Black
0.012994527816772461,Black
0.016998291015625,Black
0.02599358558654785,Red
0.01798081398010254,Black
0.017999649047851562,Black
0.0229952335357666,Black
0.017002344131469727,Black
0.015970706939697266,Black
0.024029016494750977,Black
0.015033245086669922,Black
0.015999794006347656,Black
0.02199554443359375,Black
0.018985271453857422,Black
0.012970209121704102,Black
0.02152276039123535,Black
0.019997835159301758,Black
